Issue Type,Summary,Priority,Labels,Components,Story Points,Epic Link,Description
Story,Implement robust login signup validation,High,accentify auth,Auth;Mobile,5,Authentication & Account Recovery,Block invalid input show clear errors and verify happy/sad paths.
Story,Complete OTP password reset email SMS flow,High,accentify auth,Auth;Firebase Functions,8,Authentication & Account Recovery,Deliver lookup send verify reset as end-to-end reliable flow.
Task,Add OTP abuse and rate limit edge case tests,Medium,accentify auth-test,QA;Firebase Functions,3,Authentication & Account Recovery,Validate lockout retry window and expired code scenarios.
Story,Stabilize recording to STT to scoring pipeline,High,accentify pronunciation,Firebase Functions;Mobile,8,Pronunciation Learning Experience,Handle success failure retries and user feedback states for pronunciation checks.
Story,Improve lesson progress persistence and resume,High,accentify pronunciation,Mobile;services,5,Pronunciation Learning Experience,Users resume lesson state accurately across app restarts.
Task,Seed and validate pronunciation sentence dataset,Medium,accentify pronunciation-data,Firebase Functions,3,Pronunciation Learning Experience,Ensure seeded sentences are complete non-empty and categorized correctly.
Story,Refactor Wavy response rules for maintainability,High,accentify wavy-chat,Mobile,5,Wavy Chat Assistant,Improve conversation state transitions and avoid fragile branching.
Story,Move Wavy text prompts to config source,High,accentify wavy-chat-content,Mobile;Firebase Functions,5,Wavy Chat Assistant,Externalize assistant copy for easier iteration without code churn.
Task,Expand phonetic map and fallback quality,Medium,accentify wavy-chat,Mobile,3,Wavy Chat Assistant,Increase map coverage and improve unknown word syllable behavior.
Task,Store chat analytics for tutoring insights,Medium,accentify analytics,Mobile;Firebase Functions,3,Wavy Chat Assistant,Track interactions timestamps and support usage insights.
Story,Finalize user management and user detail actions,Medium,accentify admin,Admin;Mobile,5,Admin & Moderation,Complete list detail and action flows with role checks.
Story,Complete announcements and feedback moderation screens,Medium,accentify admin,Admin;Mobile,5,Admin & Moderation,Support create publish archive and feedback resolution lifecycle.
Task,Validate access control matrix for admin roles,Medium,accentify admin-security,Admin;QA,3,Admin & Moderation,Verify each role has least-privilege access across admin areas.
Story,Harden Firestore and Storage security rules,High,accentify security,Firebase Functions;DevOps,8,Quality Security & Release,Enforce least privilege and prevent unauthorized reads writes.
Task,Add controller and service unit tests for critical flows,High,accentify qa,QA;Mobile,5,Quality Security & Release,Raise confidence for auth pronunciation and progress logic.
Task,Prepare production release checklist and rollback plan,Medium,accentify release,DevOps;QA,3,Quality Security & Release,Document go-live checks monitoring and rollback actions.
